Keyphrase,Ground Truth,Score
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
security personalization,security,0.7
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
spectral collocation method,boundary perturbation methods,0.15
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
montgomery modular exponentiation,montgomery,0.4
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
document engineering,document annotation and structuring,0.65
,,
scholarly annotation,document annotation and structuring,0.55
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
hyperplane scheduling,modulo scheduling,0.45
,,
end of document,,
,,
polygonal shapes recognition,overlapping particles recognition,0.2
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
graphical statics,graphics,0.65
,,
exterior algebra,linear algebra,0.35
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
hermite interpolation,c1 c <digit> hermite interpolation c1 c <digit> c1 c <digit> c <digit>,0.6
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
shadow softening,shadow generation,0.35
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
random polynomi,bivariate polynomial,0.45
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
query optimization,query by output,0.35
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
electron transfer,stepwise electron transfer proton transfer,0.45
,,
end of document,,
,,
event based programming,event,0.35
,,
event based software,event,0.35
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
fractional differential equations,fractional corrected functional,0.3
,,
fractional calculus,fractional corrected functional,0.3
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
federative resource management,qos resource management,0.7
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
group decision making,group consensus opinion,0.3
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
,,
end of document,,
