Prediction,Target,Machine Percentage,Similarity Percent,Occurances,Count
,,,,,
feedback vertex set,feedback vertex set,1,1,1,1
,,,,,
<digit> degenerate graph,<digit> degenerate graphs,0.909778059,0.95,1,2
,,,,,
polynomial time algorithm,<digit> degenerate graphs,0.061970495,0.05,1,3
,,,,,
feedback graph,feedback vertex set,0.432586581,0.4,1,4
,,,,,
"['feedback vertex set', '<digit> degenerate graph', 'polynomial time algorithm', 'feedback graph']","['feedback vertex set', '<digit> degenerate graphs', 'decycling set']",N/A,0.4,1,5
,,,,,
cache,performance,0.287740618,0.04,1,6
,,,,,
prefetching,data prefetching,0.224535584,0.6,1,7
,,,,,
performance,performance,1,1,1,8
,,,,,
design,performance,0.42291373,0.04,1,9
,,,,,
experimentation,analytical modeling,0.261110038,0.08,1,10
,,,,,
measurement,analytical modeling,0.172039196,0.1,1,11
,,,,,
pending prefetching,data prefetching,0.468259454,0.4,4,12
,,,,,
pending misses,pending hit,0.539044619,0.3,1,13
,,,,,
"['cache', 'prefetching', 'performance', 'design', 'experimentation', 'measurement', 'pending prefetching', 'pending prefetching', 'pending prefetching', 'pending prefetching', 'pending misses']","['analytical modeling', 'data prefetching', 'performance', 'miss status holding register', 'pending hit']",N/A,0.6,1,14
,,,,,
autoimmune polyendocrinopathy candidiasis,chronic mucocutaneous candidiasis,0.105170585,0.3,1,15
,,,,,
ectodermal dystrophy,chronic mucocutaneous candidiasis,0.138775185,0.02,1,16
,,,,,
aire,aire,1,1,1,17
,,,,,
autoimmune disease,chronic mucocutaneous candidiasis,0.084944442,0.08,2,18
,,,,,
autoimmune ectodermal dystrophy,chronic mucocutaneous candidiasis,0.203800648,0.08,1,19
,,,,,
autoimmune,chronic mucocutaneous candidiasis,-0.062426277,0.07,1,20
,,,,,
"['autoimmune polyendocrinopathy candidiasis', 'ectodermal dystrophy', 'aire', 'autoimmune disease', 'autoimmune disease', 'autoimmune ectodermal dystrophy', 'autoimmune']","['apeced', 'aire', 'chronic mucocutaneous candidiasis', 'il <digit>', 'il <digit>']",N/A,0.4,1,21
,,,,,
aluminium casting,conduction,0.149226516,0.05,1,22
,,,,,
characteristics method,conduction,0.093169525,0.04,1,23
,,,,,
finite element method,finite element,0.534762144,0.7,1,24
,,,,,
enthalpy method,thermal,0.117807068,0.04,1,25
,,,,,
two phase solidification,conduction,-0.003940015,0.03,1,26
,,,,,
"['aluminium casting', 'characteristics method', 'finite element method', 'enthalpy method', 'two phase solidification']","['casting', 'convection', 'finite element', 'thermal', 'conduction']",N/A,0.3,1,27
,,,,,
rib feature,rib,0.396371424,0.5,1,28
,,,,,
feature recognition,feature recognition,0.999999762,1,1,29
,,,,,
attribute adjacency graph,feature recognition,-0.009760022,0.04,1,30
,,,,,
cnc machining,machining feature,0.223883942,0.4,1,31
,,,,,
optimisation,feature recognition,0.260437846,0.03,1,32
,,,,,
"['rib feature', 'feature recognition', 'attribute adjacency graph', 'cnc machining', 'optimisation']","['rib', 'aircraft structural part', 'feature recognition', 'machining feature']",N/A,0.5,1,33
,,,,,
harmonic balance method,harmonic balance method,1,1,1,34
,,,,,
grobner basis,grobner base,0.618229449,0.9,1,35
,,,,,
truncation error,quadratic approximation,0.118854418,0.04,1,36
,,,,,
singular point,singular point,0.999999762,1,1,37
,,,,,
"['harmonic balance method', 'grobner basis', 'truncation error', 'singular point']","['harmonic balance method', 'grobner base', 'error bound', 'algebraic representation', 'singular point', 'quadratic approximation']",N/A,0.8,1,38
,,,,,
graph coloring,graph coloring,1,1,1,39
,,,,,
tdma scheduling,tdma,0.668205082,0.8,1,40
,,,,,
wireless sensor networks,clustering,-0.02010808,0.04,1,41
,,,,,
time division multiple access,real time,-0.01014574,0.12,1,42
,,,,,
"['graph coloring', 'tdma scheduling', 'wireless sensor networks', 'time division multiple access']","['graph coloring', 'tdma', 'distributed', 'real time', 'clustering']",N/A,0.6,1,43
,,,,,
model as a service,model web,0.069866672,0.4,1,44
,,,,,
maas,model web,-0.0382162,0.06,1,45
,,,,,
web services,web service,0.86615479,0.95,1,46
,,,,,
mashups,geospatial data,0.018726705,0.04,6,47
,,,,,
"['model as a service', 'maas', 'web services', 'mashups', 'mashups', 'mashups', 'mashups', 'mashups', 'mashups']","['cloud computing', 'web service', 'geospatial data', 'model web', 'earthcube', 'big data']",N/A,0.32,1,48
,,,,,
shot change detection,shot change detection,1,1,1,49
,,,,,
optical flow,optical flow,1,1,1,50
,,,,,
brightness constraint,optical flow,0.093622759,0.05,1,51
,,,,,
video partitioning,video segmentation,0.717522204,0.5,1,52
,,,,,
"['shot change detection', 'optical flow', 'brightness constraint', 'video partitioning']","['shot change detection', 'optical flow', 'video segmentation']",N/A,0.7,1,53
,,,,,
tail asymptotics,tail distributions,0.076435715,0.7,1,54
,,,,,
hol priority queues,priority queues,0.679648221,0.7,1,55
,,,,,
long range dependent sources,large deviations,0.076983035,0.1,1,56
,,,,,
reduced service rate,cell loss,-0.028901633,0.1,1,57
,,,,,
m buffers,tail distributions,0.045683879,0.07,4,58
,,,,,
source pooling,cell loss,0.169394389,0.06,1,59
,,,,,
m buffer,large deviations,-0.055045135,0.1,1,60
,,,,,
"['tail asymptotics', 'hol priority queues', 'long range dependent sources', 'reduced service rate', 'm buffers', 'm buffers', 'm buffers', 'm buffers', 'source pooling', 'm buffer']","['priority queues', 'bahadur rao theorem', 'large deviations', 'cell loss', 'stationary processes', 'tail distributions']",N/A,0.4,1,61
,,,,,
parallel,rectangle intersection,0.020992795,0.06,1,62
,,,,,
algorithm,computational geometry,0.219345137,0.3,1,63
,,,,,
multicore,multicore,1,1,1,64
,,,,,
systems,physical design,0.07535363,0.2,1,65
,,,,,
parallel algorithm,computational geometry,0.273464292,0.4,1,66
,,,,,
large scale,multicore,0.18746528,0.04,1,67
,,,,,
integrability,physical design,0.035184927,0.3,1,68
,,,,,
physical design,physical design,0.999999762,1,1,69
,,,,,
design,physical design,0.523689508,0.5,1,70
,,,,,
challenge,physical design,0.023642428,0.3,1,71
,,,,,
efficiency,plane sweep,-0.001163458,0.05,1,72
,,,,,
effect,physical design,0.04410198,0.3,1,73
,,,,,
implementation,physical design,0.230742067,0.4,1,74
,,,,,
intersection,rectangle intersection,0.366566151,0.5,1,75
,,,,,
computational geometry,computational geometry,1,1,1,76
,,,,,
component,physical design,0.089716986,0.43,1,77
,,,,,
extraction,physical design,0.090375252,0.23,1,78
,,,,,
process,physical design,0.103304937,0.45,1,79
,,,,,
scalability,physical design,0.148516178,0.54,1,80
,,,,,
cluster,rectangle intersection,0.101681292,0.21,1,81
,,,,,
"['parallel', 'algorithm', 'multicore', 'systems', 'parallel algorithm', 'large scale', 'integrability', 'physical design', 'design', 'challenge', 'efficiency', 'effect', 'implementation', 'intersection', 'computational geometry', 'component', 'extraction', 'process', 'scalability', 'cluster']","['plane sweep', 'multicore', 'physical design', 'rectangle intersection', 'computational geometry']",N/A,0.6,1,82
,,,,,
perceptions,communication channels,0.079696052,0.32,1,83
,,,,,
information technology adoption,information technology adoption,1,1,1,84
,,,,,
innovation,personal innovativeness,0.32521534,0.43,1,85
,,,,,
technology acceptance model,information technology adoption,0.398006916,0.32,1,86
,,,,,
personal innovativeness,personal innovativeness,1,1,1,87
,,,,,
mass media,information technology adoption,0.193077311,0.65,1,88
,,,,,
interpersonal communication,communication channels,0.330776393,0.5,1,89
,,,,,
technology adoption models,information technology adoption,0.527146637,0.43,6,90
,,,,,
technology adoption,information technology adoption,0.742027879,0.66,1,91
,,,,,
"['perceptions', 'information technology adoption', 'innovation', 'technology acceptance model', 'personal innovativeness', 'mass media', 'interpersonal communication', 'technology adoption models', 'technology adoption models', 'technology adoption models', 'technology adoption models', 'technology adoption models', 'technology adoption models', 'technology adoption']","['information technology adoption', 'personal innovativeness', 'communication channels', 'expert system adoption']",N/A,0.6,1,92
,,,,,
classification,vector quantization,0.160870552,0.2,1,93
,,,,,
latent variable models,latent variable models,1,1,1,94
,,,,,
constraint optimization,vector quantization,0.153199807,0.04,1,95
,,,,,
support vector machines,support vector machines,1,1,1,96
,,,,,
principal component analysis,latent variable models,0.236819401,0.03,1,97
,,,,,
supervised learning,semi supervised learning,0.488184035,0.5,1,98
,,,,,
"['classification', 'latent variable models', 'constraint optimization', 'support vector machines', 'principal component analysis', 'supervised learning']","['latent variable models', 'support vector machines', 'semi supervised learning', 'pca', 'vector quantization', 'image and character recognition']",N/A,0.3,1,99
,,,,,
brain computer interface,braincomputer interface,0.744130731,0.95,1,100
,,,,,
event related potentials,event related potentials,1,1,1,101
,,,,,
eeg,electroencephalography,-0.224909127,0.97,1,102
,,,,,
hex o,electroencephalography,-0.192539513,0.05,1,103
,,,,,
erp classification,classification,0.206323907,0.5,1,104
,,,,,
erp feature extraction,data collection,0.094211228,0.1,1,105
,,,,,
erp classifier,classification,0.209709257,0.5,2,106
,,,,,
"['brain computer interface', 'event related potentials', 'eeg', 'hex o', 'erp classification', 'erp feature extraction', 'erp classifier', 'erp classifier']","['event related potentials', 'data collection', 'classification', 'electroencephalography', 'braincomputer interface']",N/A,0.7,1,107
,,,,,
increasing failure rate,departure process,0.016101966,0.1,1,108
,,,,,
erlang distribution,erlang distribution,1,1,1,109
,,,,,
e m e k <digit> queue,ph g <digit>,0.48714906,0.1,1,110
,,,,,
reversible change of measure,departure process,-0.001685503,0.02,1,111
,,,,,
"['increasing failure rate', 'erlang distribution', 'e m e k <digit> queue', 'reversible change of measure']","['ifr', 'erlang distribution', 'departure process', 'ph g <digit>', 'queueing theory']",N/A,0.2,1,112
,,,,,
down mixing,surround audio,0.003450584,0.03,1,113
,,,,,
quadraphonic headset,surround audio,0.249395326,0.4,1,114
,,,,,
surround audio,surround audio,1,1,1,115
,,,,,
hrtf,reverberation,-0.246008724,0.03,1,116
,,,,,
reverberator,reverberation,0.72494638,0.87,1,117
,,,,,
common acoustical pole and zero,virtual loudspeaker,-0.011288542,0.12,1,118
,,,,,
hrtf model,head related transfer function,-0.039560776,0.89,1,119
,,,,,
"['down mixing', 'quadraphonic headset', 'surround audio', 'hrtf', 'reverberator', 'common acoustical pole and zero', 'hrtf model']","['surround audio', 'head related transfer function', 'reverberation', 'virtual loudspeaker']",N/A,0.7,1,120
,,,,,
security personalization,personalization,0.5583933,0.5,1,121
,,,,,
personalization,personalization,0.999999762,1,1,122
,,,,,
internet,internet services,0.373979807,0.4,1,123
,,,,,
web services,web services,0.999999762,1,1,124
,,,,,
policy,security policy,0.493996203,0.4,1,125
,,,,,
e commerce security,security,0.277186006,0.4,1,126
,,,,,
e security policy,security policy,0.667279243,0.8,6,127
,,,,,
