Keyphrase,Ground Truth,Score

polynomial time algorithm,feedback vertex set

end of document

experimentation,performance

measurement,performance

end of document

autoimmune,apeced

end of document

aluminium casting,casting

characteristics method,casting

enthalpy method,casting

two phase solidification,convection

end of document

rib feature,feature recognition

end of document

truncation error,singular point

end of document

wireless sensor networks,graph coloring

time division multiple access,tdma

end of document

mashups,web service

end of document

brightness constraint,video segmentation

end of document

reduced service rate,priority queues

m buffers,priority queues

source pooling,priority queues

m buffer,priority queues

end of document

parallel,multicore

algorithm,plane sweep

systems,multicore

parallel algorithm,multicore

challenge,plane sweep

efficiency,rectangle intersection

effect,plane sweep

component,plane sweep

process,plane sweep

scalability,multicore

cluster,multicore

end of document

mass media,communication channels

end of document

classification,pca

end of document

hex o,classification

erp feature extraction,electroencephalography

end of document

reversible change of measure,erlang distribution

end of document

hrtf,surround audio

common acoustical pole and zero,surround audio

hrtf model,surround audio

end of document

e commerce security,internet services

end of document

gals,synchronization

cmos,synchronization

end of document

organizational structures,strategies for production systems design

forecasted order program,strategies for production systems design

end of document

selectors,randomization

deterministic protocols,optimality

deterministic broadcasting,optimality

deterministic wake up,optimality

end of document

end of document

rns,base transformation

end of document

context of use,quality

design for value,value

design for the world,value

end of document

fugu rubripes,teleost

pufferfish,teleost

gpcr receptors,duplicated genes

end of document

nash equilibrium,correlated fading

end of document

curing agent,embedded capacitors

loss factor,embedded capacitors

end of document

stroke order independent,classifier combination

eigenvalues,offline

end of document

end of document

end of document

knowledge representation,software tool

end of document

k d tree,affine invariant

k,affine invariant

end of document

end of document

end of document

end of document

eta long beta normal term,strong sums

end of document

dbms,database

end of document

pseudo dynamic,wrinkling

end of document

polytope,facets of polyhedra

induced clique hole,graph colorings

induced hole,graph colorings

end of document

affine sub model estimation,hybrid systems

hyperplane partitions,clustering

end of document

end of document

artificial intelligence,adaptive systems

end of document

mems,polymer

kretschmann sensor,pdms

end of document

k refinement,strain field measurement

non linear constitutive law identification,digital image correlation

end of document

eulers equations,functional variations

chebyshev polynomials,dirichletneumann operators

end of document

spline curves,voronoi mountain

end of document

text mining,wordnet

lexical knowledge,semantic distance

discotex,novelty

rule novelty,knowledge hierarchy

end of document

algorithms,independence system

theory,independence system

end of document

high order,locally symmetric meshes

galerkin finite element method,integral identities

local estimates,integral identities

end of document

software architecture,design pattern

end of document

end of document

end of document

polynomial time many one reducibility,deterministic reducibility

cryptography,order

end of document

end of document

montgomery modular exponentiation,montgomery

field programmable gate arrays,systolic array

cryptography,fpga

end of document

artificial neural networks,supervised and unsupervised learning

pattern recognition,dynamic security assessment

end of document

insertion loss,mosfet switch

isolation,rf cmos

s parameters,spdt switch

end of document

hashing,probabilistic verification

finite fields,multiple valued function

e,equivalence checking

end of document

document engineering,document annotation and structuring

end of document

seizure detection,channel selection

eeg detection,electroencephalography

end of document

end of document

rfid,genetic algorithms

picking cart,artificial immune system

end of document

loops,languages

data dependence graph,software pipelining

hyperplane scheduling,modulo scheduling

instruction level parallelism,software pipelining

end of document

polygonal shapes recognition,overlapping particles recognition

end of document

approximation algorithm,dimension reduction

sphere,max cut

epsil,max cut

end of document

credit card industry,market entry

e commerce,market entry

e business,market entry

end of document

scene analysis,vectorization

graphical statics,graphics

applied projective geometry,geometry

doubilet rota stein double algebra,algebra

3,paper

end of document

image advertising,algorithms

visual similarity,algorithms

face detection,algorithms

image salience,algorithms

end of document

phase sequence,ofdm

end of document

theory driven backjumping,integrated decision procedures

theory driven deduction,propositional satisfiability

end of document

klin condition,strongly regular graph

end of document

end of document

end of document

productivity,total factor productivity

end of document

process oriented view,multimedia effect

text based view,multimedia effect

picture based view,multimedia effect

end of document

girth,restricted edge connectivity

end of document

clicks,wikipedia

judgments,wikipedia

evaluation,wikipedia

search engine,wikipedia

relevance,wikipedia

end of document

recursion,computation

recur,anticipation

end of document

