,Prediction,Target,Bert scores,Human scores,F1
1,feedback vertex set,feedback vertex set,1.0,1.0,1.0
3,<digit> degenerate graph,<digit> degenerate graphs,0.9097780590000001,0.95,1.0
5,polynomial time algorithm,<digit> degenerate graphs,0.061970495,0.05,0.0
7,feedback graph,feedback vertex set,0.432586581,0.4,0.0
9,"['feedback vertex set', '<digit> degenerate graph', 'polynomial time algorithm', 'feedback graph']","['feedback vertex set', '<digit> degenerate graphs', 'decycling set']",0.6100277804072012,0.4,0.5714285714285715
11,cache,performance,0.287740618,0.04,0.0
13,prefetching,data prefetching,0.22453558399999998,0.6,0.0
15,performance,performance,1.0,1.0,1.0
17,design,performance,0.42291373,0.04,0.0
19,experimentation,analytical modeling,0.261110038,0.08,0.0
21,measurement,analytical modeling,0.172039196,0.1,0.0
23,pending prefetching,data prefetching,0.46825945399999996,0.4,0.0
25,pending misses,pending hit,0.539044619,0.3,0.0
27,"['cache', 'prefetching', 'performance', 'design', 'experimentation', 'measurement', 'pending prefetching', 'pending prefetching', 'pending prefetching', 'pending prefetching', 'pending misses']","['analytical modeling', 'data prefetching', 'performance', 'miss status holding register', 'pending hit']",0.3731883485303748,0.6,0.12500000000000003
29,autoimmune polyendocrinopathy candidiasis,chronic mucocutaneous candidiasis,0.105170585,0.3,0.0
31,ectodermal dystrophy,chronic mucocutaneous candidiasis,0.138775185,0.02,0.0
33,aire,aire,1.0,1.0,1.0
35,autoimmune disease,chronic mucocutaneous candidiasis,0.084944442,0.08,0.0
37,autoimmune ectodermal dystrophy,chronic mucocutaneous candidiasis,0.203800648,0.08,0.0
39,autoimmune,chronic mucocutaneous candidiasis,-0.062426277,0.07,0.0
41,"['autoimmune polyendocrinopathy candidiasis', 'ectodermal dystrophy', 'aire', 'autoimmune disease', 'autoimmune disease', 'autoimmune ectodermal dystrophy', 'autoimmune']","['apeced', 'aire', 'chronic mucocutaneous candidiasis', 'il <digit>', 'il <digit>']",0.16666666666666666,0.4,0.16666666666666666
43,aluminium casting,conduction,0.149226516,0.05,0.0
45,characteristics method,conduction,0.093169525,0.04,0.0
47,finite element method,finite element,0.534762144,0.7,0.0
49,enthalpy method,thermal,0.117807068,0.04,0.0
51,two phase solidification,conduction,-0.003940015,0.03,0.0
53,"['aluminium casting', 'characteristics method', 'finite element method', 'enthalpy method', 'two phase solidification']","['casting', 'convection', 'finite element', 'thermal', 'conduction']",0.10695242881774902,0.3,0.0
55,rib feature,rib,0.39637142399999997,0.5,0.0
57,feature recognition,feature recognition,0.9999997620000001,1.0,1.0
59,attribute adjacency graph,feature recognition,-0.009760022,0.04,0.0
61,cnc machining,machining feature,0.223883942,0.4,0.0
63,optimisation,feature recognition,0.26043784600000003,0.03,0.0
65,"['rib feature', 'feature recognition', 'attribute adjacency graph', 'cnc machining', 'optimisation']","['rib', 'aircraft structural part', 'feature recognition', 'machining feature']",0.22222216924031574,0.5,0.22222222222222224
67,harmonic balance method,harmonic balance method,1.0,1.0,1.0
69,grobner basis,grobner base,0.618229449,0.9,0.0
71,truncation error,quadratic approximation,0.118854418,0.04,0.0
73,singular point,singular point,0.9999997620000001,1.0,1.0
75,"['harmonic balance method', 'grobner basis', 'truncation error', 'singular point']","['harmonic balance method', 'grobner base', 'error bound', 'algebraic representation', 'singular point', 'quadratic approximation']",0.5236458420753479,0.8,0.4
77,graph coloring,graph coloring,1.0,1.0,1.0
79,tdma scheduling,tdma,0.6682050820000001,0.8,0.0
81,wireless sensor networks,clustering,-0.02010808,0.04,0.0
83,time division multiple access,real time,-0.01014574,0.12,0.0
85,"['graph coloring', 'tdma scheduling', 'wireless sensor networks', 'time division multiple access']","['graph coloring', 'tdma', 'distributed', 'real time', 'clustering']",0.3707122405370077,0.6,0.22222222222222224
87,model as a service,model web,0.069866672,0.4,0.0
89,maas,model web,-0.0382162,0.06,0.0
91,web services,web service,0.86615479,0.95,1.0
93,mashups,geospatial data,0.018726705,0.04,0.0
